filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate,Unmapped,Multimapping,No Feature,Ambiguous Unstranded,Ambiguous Forward,plate_row,plate_col,Total Reads,Unmapped Over Mapped
A2449446903_n01_LICRNA02_H01,H01,8,LIC164,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,6824392.0,1661107.0,609921.0,675186.0,96681.0,H,1,8377705.0,0.8145896758121706
A2449446903_n01_LICRNA02_A02,A02,9,LIC169,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,3071877.0,648887.0,353549.0,398670.0,57289.0,A,2,4985602.0,0.6161496645741076
A2449446903_n01_LICRNA02_B02,B02,10,LIC170,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,1839268.0,555775.0,243038.0,238921.0,35079.0,B,2,2982080.0,0.6167735272024896
A2449446903_n01_LICRNA02_C02,C02,11,LIC171,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,2209163.0,533156.0,281117.0,274381.0,38470.0,C,2,3173806.0,0.6960611329110853
A2449446903_n01_LICRNA02_D02,D02,12,LIC172,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,4839371.0,1217252.0,560410.0,537171.0,79987.0,D,2,6675106.0,0.7249878878327924
A2449446903_n01_LICRNA02_E02,E02,13,LIC173,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,2654140.0,717431.0,333308.0,360223.0,51956.0,E,2,4439426.0,0.5978565697457284
A2449446903_n01_LICRNA02_F02,F02,14,LIC174,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,5290974.0,1141991.0,385276.0,458616.0,64736.0,F,2,5575991.0,0.9488849605388531
A2449446903_n01_LICRNA02_G02,G02,15,LIC175,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,3002466.0,635398.0,241109.0,319952.0,41984.0,G,2,3902414.0,0.7693868461931512
A2449446903_n01_LICRNA02_H02,H02,16,LIC176,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02,3329255.0,998898.0,494937.0,445500.0,65680.0,H,2,5371809.0,0.6197642172311041
A2449446903_n01_LICRNA02_A03,A03,17,LIC193,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,1213638.0,386660.0,158864.0,207527.0,27420.0,A,3,2465662.0,0.4922158836044843
A2449446903_n01_LICRNA02_B03,B03,18,LIC194,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,5890237.0,1668280.0,830284.0,707612.0,108803.0,B,3,8375971.0,0.7032303478605645
A2449446903_n01_LICRNA02_C03,C03,19,LIC195,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,3619397.0,767862.0,288505.0,337823.0,49649.0,C,3,3973304.0,0.9109287887360242
A2449446903_n01_LICRNA02_D03,D03,20,LIC196,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,4976399.0,975264.0,570481.0,528958.0,76759.0,D,3,6129991.0,0.8118117954822446
A2449446903_n01_LICRNA02_E03,E03,21,LIC197,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,4101044.0,800490.0,533106.0,490402.0,73676.0,E,3,5634545.0,0.7278394262535839
A2449446903_n01_LICRNA02_F03,F03,22,LIC198,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,4931741.0,784080.0,640719.0,617930.0,88287.0,F,3,7332892.0,0.6725506116822667
A2449446903_n01_LICRNA02_G03,G03,23,LIC199,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,3350123.0,914930.0,517979.0,392455.0,66202.0,G,3,4776526.0,0.7013722944248603
A2449446903_n01_LICRNA02_H03,H03,24,LIC200,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02,5868400.0,968775.0,591577.0,752764.0,91295.0,H,3,8579681.0,0.6839881342907738
A2449446903_n01_LICRNA02_A04,A04,25,LIC205,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02,306394.0,132266.0,39209.0,46310.0,6783.0,A,4,564891.0,0.5423949045037008
A2449446903_n01_LICRNA02_B04,B04,26,LIC206,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02,2214994.0,759107.0,321014.0,349109.0,53644.0,B,4,4444131.0,0.4984088002806398
A2449446903_n01_LICRNA02_C04,C04,27,LIC207,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02,1039534.0,374150.0,157202.0,156785.0,25026.0,C,4,2018386.0,0.5150323079926238
A2449446903_n01_LICRNA02_D04,D04,28,LIC208,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02,1027102.0,370679.0,146697.0,164129.0,25094.0,D,4,2097859.0,0.48959534458702897
